alert_id,txn_id,fraud_type,risk_score,alert_time,resolved,notes
1,3011,"Night-Time High Value",78,"2023-01-01 01:08:19",0,NULL
2,4807,"Night-Time High Value",73,"2023-01-02 03:02:35",0,NULL
3,1421,"Night-Time High Value",69,"2023-01-02 03:14:42",0,NULL
4,4799,"Night-Time High Value",72,"2023-01-02 03:16:36",0,NULL
5,1984,"Repeated Failed Attempts",75,"2023-01-02 04:10:03",0,NULL
6,4473,"High Value Transfer",84,"2023-01-02 10:49:32",0,NULL
7,2013,"Repeated Failed Attempts",78,"2023-01-02 11:38:06",0,NULL
8,3019,"Night-Time High Value",90,"2023-01-03 01:38:59",0,NULL
9,2805,"Repeated Failed Attempts",68,"2023-01-03 18:16:43",0,NULL
10,3507,"Repeated Failed Attempts",63,"2023-01-04 19:46:15",0,NULL
11,1401,"Night-Time High Value",66,"2023-01-05 02:34:49",0,NULL
12,1519,"Night-Time High Value",81,"2023-01-06 01:28:05",0,NULL
13,300,"Night-Time High Value",68,"2023-01-06 02:51:02",0,NULL
14,3066,"Night-Time High Value",84,"2023-01-07 01:55:10",0,NULL
15,3080,"Night-Time High Value",72,"2023-01-07 03:59:01",0,NULL
16,4100,"Night-Time High Value",87,"2023-01-08 02:36:29",0,NULL
17,4637,"Unusual Merchant Pattern",72,"2023-01-08 16:24:33",0,NULL
18,3694,"Night-Time High Value",69,"2023-01-09 01:26:34",0,NULL
19,4470,"High Value Transfer",90,"2023-01-10 09:03:32",0,NULL
20,2717,"Repeated Failed Attempts",68,"2023-01-10 23:33:06",0,NULL
21,1185,"Night-Time High Value",75,"2023-01-11 01:45:41",0,NULL
22,4814,"High Value Transfer",82,"2023-01-11 02:35:55",0,NULL
23,1844,"Repeated Failed Attempts",68,"2023-01-11 03:13:49",0,NULL
24,4738,"Night-Time High Value",83,"2023-01-12 01:24:49",0,NULL
25,1572,"Night-Time High Value",65,"2023-01-13 03:28:18",0,NULL
26,4907,"Repeated Failed Attempts",56,"2023-01-13 04:42:37",0,NULL
27,4908,"Repeated Failed Attempts",75,"2023-01-13 04:44:19",0,NULL
28,4909,"Repeated Failed Attempts",58,"2023-01-13 04:44:41",0,NULL
29,4910,"Repeated Failed Attempts",77,"2023-01-13 04:47:41",0,NULL
30,4911,"Repeated Failed Attempts",70,"2023-01-13 04:48:45",0,NULL
